show,season,ep,title,city_or_area,country,state,coordinates,source,lat,long,tt,country_clean
No Reservations,1,1,France: Why the French Don't Suck,Paris,France,NA,"48.856614,2.352222",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,48.856614,2.352222,"Season 1 | Ep. 1 | Paris, France",France
No Reservations,1,2,Iceland: Hello Darkness My Old Friend,Reykjavík,Iceland,NA,"64.126521,-21.817439",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,64.126521,-21.817439,"Season 1 | Ep. 2 | Reykjavík, Iceland",Iceland
No Reservations,1,3,New Jersey,Fort Lee,United States,NJ,"40.850933,-73.970138",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,40.850933,-73.970138,"Season 1 | Ep. 3 | Fort Lee, United States",USA
No Reservations,1,3,New Jersey,Barnegat Light,United States,NJ,"39.757620,-74.106247",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,39.75762,-74.106247,"Season 1 | Ep. 3 | Barnegat Light, United States",USA
No Reservations,1,3,New Jersey,Atlantic City,United States,NJ,"39.364283,-74.422927",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,39.364283,-74.422927,"Season 1 | Ep. 3 | Atlantic City, United States",USA
No Reservations,1,3,New Jersey,Camden,United States,NJ,"39.925946,-75.119620",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,39.925946,-75.11962,"Season 1 | Ep. 3 | Camden, United States",USA
No Reservations,1,3,New Jersey,Warren Grove,United States,NJ,"39.746634,-74.370289",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,39.746634,-74.370289,"Season 1 | Ep. 3 | Warren Grove, United States",USA
No Reservations,1,3,New Jersey,Asbury Park,United States,NJ,"40.220391,-74.012082",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/,40.220391,-74.012082,"Season 1 | Ep. 3 | Asbury Park, United States",USA
No Reservations,1,4,Vietnam: The Island of Mr. Sang,Hanoi,Vietnam,NA,"21.027764,105.834160",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,21.027764,105.83416,"Season 1 | Ep. 4 | Hanoi, Vietnam",Vietnam
No Reservations,1,4,Vietnam: The Island of Mr. Sang,Mai Châu,Vietnam,NA,"20.690134,105.008989",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,20.690134,105.008989,"Season 1 | Ep. 4 | Mai Châu, Vietnam",Vietnam
No Reservations,1,4,Vietnam: The Island of Mr. Sang,Tuần Châu,Vietnam,NA,"20.927450,106.986038",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,20.92745,106.986038,"Season 1 | Ep. 4 | Tuần Châu, Vietnam",Vietnam
No Reservations,1,5,Malaysia: Into the Jungle,Kuala Lumpur,Malaysia,NA,"3.139003,101.686855",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,3.139003,101.686855,"Season 1 | Ep. 5 | Kuala Lumpur, Malaysia",Malaysia
No Reservations,1,6,Sicily,"Parlermo, Sicily",Italy,NA,"38.115688,13.361267",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,38.115688,13.361267,"Season 1 | Ep. 6 | Parlermo, Sicily, Italy",Italy
No Reservations,1,6,Sicily,"Trapani, Sicily",Italy,NA,"38.017618,12.537202",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,38.017618,12.537202,"Season 1 | Ep. 6 | Trapani, Sicily, Italy",Italy
No Reservations,1,6,Sicily,"Agrigento, Sicily",Italy,NA,"37.309407,13.585982",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,37.309407,13.585982,"Season 1 | Ep. 6 | Agrigento, Sicily, Italy",Italy
No Reservations,1,6,Sicily,"Taormina, Sicily",Italy,NA,"37.851637,15.285313",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,37.851637,15.285313,"Season 1 | Ep. 6 | Taormina, Sicily, Italy",Italy
No Reservations,1,6,Sicily,"Catania, Sicily",Italy,NA,"37.507877,15.083030",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt,37.507877,15.08303,"Season 1 | Ep. 6 | Catania, Sicily, Italy",Italy
No Reservations,1,7,Las Vegas,Las Vegas,United States,Nevada,"36.169941,-115.139830",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,36.169941,-115.13983,"Season 1 | Ep. 7 | Las Vegas, United States",USA
No Reservations,1,8,Uzbekistan,Samarkand,Uzbekistan,NA,"39.627012,66.974973",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,39.627012,66.974973,"Season 1 | Ep. 8 | Samarkand, Uzbekistan",Uzbekistan
No Reservations,1,8,Uzbekistan,Tashkent,Uzbekistan,NA,"41.299496,69.240073",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,41.299496,69.240073,"Season 1 | Ep. 8 | Tashkent, Uzbekistan",Uzbekistan
No Reservations,1,9,New Zealand: Down Under the Down Under,Christchurch,New Zealand,NA,"-43.532054,172.636225",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-43.532054,172.636225,"Season 1 | Ep. 9 | Christchurch, New Zealand",New Zealand
No Reservations,2,1,Asia Special: China & Japan,Osaka,Japan,NA,"34.693738,135.502165",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,34.693738,135.502165,"Season 2 | Ep. 1 | Osaka, Japan",Japan
No Reservations,2,1,Asia Special: China & Japan,Kisoji,Japan,NA,"36.074885,138.089862",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,36.074885,138.089862,"Season 2 | Ep. 1 | Kisoji, Japan",Japan
No Reservations,2,1,Asia Special: China & Japan,Xi’an,China,NA,"34.341574,108.939770",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,34.341574,108.93977,"Season 2 | Ep. 1 | Xi’an, China",China
No Reservations,2,1,Asia Special: China & Japan,Beijing,China,NA,"39.904200,116.407396",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,39.9042,116.407396,"Season 2 | Ep. 1 | Beijing, China",China
No Reservations,2,1,Asia Special: China & Japan,Chengdu,China,NA,"30.572815,104.066801",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,30.572815,104.066801,"Season 2 | Ep. 1 | Chengdu, China",China
No Reservations,2,2,South Florida,Miami,United States,Florida,"25.761680,-80.191790",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,25.76168,-80.19179,"Season 2 | Ep. 2 | Miami, United States",USA
No Reservations,2,2,South Florida,Key West,United States,Florida,"24.555059,-81.779987",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,24.555059,-81.779987,"Season 2 | Ep. 2 | Key West, United States",USA
No Reservations,2,3,Peru,Lima,Peru,NA,"-12.046373,-77.042754",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-12.046373000000001,-77.042754,"Season 2 | Ep. 3 | Lima, Peru",Peru
No Reservations,2,3,Peru,Tambopata,Peru,NA,"-12.582529,-69.193276",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-12.582529,-69.193276,"Season 2 | Ep. 3 | Tambopata, Peru",Peru
No Reservations,2,3,Peru,Cusco,Peru,NA,"-13.531950,-71.967463",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-13.53195,-71.967463,"Season 2 | Ep. 3 | Cusco, Peru",Peru
No Reservations,2,3,Peru,Machu Picchu,Peru,NA,"-13.163141,-72.544963",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-13.163141,-72.544963,"Season 2 | Ep. 3 | Machu Picchu, Peru",Peru
No Reservations,2,4,Peru,"Montreal, Quebec",Canada,NA,"45.501689,-73.567256",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,45.501689,-73.567256,"Season 2 | Ep. 4 | Montreal, Quebec, Canada",Canada
No Reservations,2,4,Quebec,"Marieville, Quebec",Canada,NA,"45.432629,-73.160204",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,45.432629,-73.160204,"Season 2 | Ep. 4 | Marieville, Quebec, Canada",Canada
No Reservations,2,4,Quebec,"Rigaud, Quebec",Canada,NA,"45.483074,-74.282199",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,45.483074,-74.282199,"Season 2 | Ep. 4 | Rigaud, Quebec, Canada",Canada
No Reservations,2,4,Quebec,"Inukjuak, Quebec",Canada,NA,"58.455121,-78.105103",https://www.imdb.com/title/tt0933410/locations?ref_=tt_dt_dt,58.455121,-78.105103,"Season 2 | Ep. 4 | Inukjuak, Quebec, Canada",Canada
No Reservations,2,5,Sweden,Stockholm,Sweden,NA,"59.329323,18.068581",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,59.329323,18.068581,"Season 2 | Ep. 5 | Stockholm, Sweden",Sweden
No Reservations,2,6,Puerto Rico,"Cayey, Puerto Rico",United States,NA,"18.111905,-66.166000",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt,18.111905,-66.166,"Season 2 | Ep. 6 | Cayey, Puerto Rico, United States",USA
No Reservations,2,6,Puerto Rico,"Ponce, Puerto Rico",United States,NA,"18.011077,-66.614062",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt,18.011077,-66.614062,"Season 2 | Ep. 6 | Ponce, Puerto Rico, United States",USA
