restaurant|address
Katz's Deli|205 E Houston St, New York, NY
Junior's|386 Flatbush Ave, Brooklyn
Keens Steakhouse|72 W 36th St, New York, NY
Gray's Papaya|2090 Broadway, New York, NY
Russ & Daughters|179 E. Houston St., New York, NY
The Spotted Pig| 314 W. 11th St., New York, NY
Le Bernardin| 155 W. 51st Street., New York, NY
Torrisi Italian| 250 Mulberry St. New York, NY
Prune| 54 E. 1st Street, New York, NY
Sil Gaek| 16129 Crocheron Ave, Queens, NY
Sammy's Roumanian|157 Chrystie St., New York, NY
Sunnys Bar| 253 Conover St., Brooklyn, NY
Hop Kee | 21 Mott St., New York, NY
Hagi|152 W. 49th., New York, NY
Heidlberg|1648 2nd., New York, NY
Eisenberg's Sandwich Shop|174 5th Ave, New York, NY
Momofuku|2017 2nd. Ave., New York, NY
Randazzo Clam Bar|2023 Emmons Ave., Brooklyn, NY
X20|71 Water Grant St., Yonkers, NY
Pok Pok|127 Columbia St., Brooklyn, NY
Manganaro's|488 9th Ave., New York, NY
Tortilleria Mexicana Los Hermanos|271 Starr St., Brooklyn, NY
Esposito Meat Market|354 W. 38th Street, New York, NY
Sam's Soul Food|596 Grand Concourse, Bronx, NY
New Asha Cafe|322 Victory Blvd, Staten Island, NY
East Harbor Seafood Dim-Sum Palace|714 65th St., Brooklyn, NY
Sakagura|211 E. 43rd St., New York, NY
Kebab Cafe|25 Steinway St., Astoria, NY
Cafe Glechik|1655 Sheepshead Bay Rd.,Brooklyn, NY
Marlow and Sons|81 Broadway, Brooklyn, NY
Sophie's Bar|507 E. 5th Street, New York, NY
Gloria's|987 Nostrand Ave.,Brooklyn,NY
Golden Shopping Mall|133 33rd Ave., Queens, NY
Jade Island Restaurant|2845 Richmond Ave.,Staten Island, NY
The Feeding Tree| 892 Gerard Ave., Bronx, NY
Brooklyn Fare|200 Schermerhorn St.,Brooklyn,NY
Jay and Lloyd's Deli|2718 Ave. U,Brooklyn, NY
Hindu Temple Society of North America|14307 Holly Ave., Queens, NY
Christopher Norman Chocolate|60 New St., New York, NY
Robertas| 261 Moore St. Brooklyn, NY
Le Veau d'Or|129 E. 60th St. New York, NY
Primorski|282 Brighton Beach Ave., Brooklyn, NY  
188 Cuchifritos|158 E. 188th, Bronx, NY
Barry's|East 235th Street, Bronx, NY
White Castle|550 E. Fordham Rd., Bronx, NY
Yu Garden Dumpling House|46 Kissena Blvd.,Flushing, NY
Geo Si Gi|152 Northern Blvd., Flushing, NY
Neir's Tavern|87 78th Street., Woodhaven, NY
Lhasa Fast Food|37 74th St., Jackson Heights, NY
Brisas Del Mar|9902 Rockaway Beach Blvd., Rockaway Park, NY
Aquaduct Racetrack|110 Rockaway Blvd., Ozone Park, NY
Africana Restaurant|146 Liberty Ave., Jamaica, NY
Bemelmans Bar|35 E. 76th St., New York, NY
Burger Joint|119 W. 56th Street, New York, NY
Minetta Tavern|113 Macdougal St., New York, NY
Takashi|456 Hudson, New York, NY
Big Gay Ice Cream Shop|125 E. 7th St., New York, NY
Baohaus|238 E. 14th St., New York, NY
